iteration,chain,pA,pB,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
1513,1,0.028620460504733432,0.11192935593329845,-14.123809309728639,3.0,1.0,0.9993046555691661,-14.123809309728639,14.213453029271509,0.0020882120905074686,-0.03194094903653877,2.0,0.0,1.1011718230836205,1.1011718230836205
1514,1,0.035556077411894,0.11483215422119825,-14.517156887622015,1.0,1.0,0.8334487613255456,-14.517156887622015,14.603420740922774,0.18218305279542157,0.18218305279542157,1.0,0.0,1.1011718230836205,1.1011718230836205
1515,1,0.006244135707411508,0.10531749036043023,-15.01090264025703,3.0,1.0,0.7414383213394743,-15.01090264025703,15.476032168672548,0.31885198821640515,0.31885198821640515,2.0,0.0,1.1011718230836205,1.1011718230836205
1516,1,0.007107949924776559,0.10983795131227794,-14.68103537708016,1.0,1.0,1.0,-14.68103537708016,15.031371957242174,-0.06174072409710263,-0.06174072409710263,1.0,0.0,1.1011718230836205,1.1011718230836205
1517,1,0.021129706846988904,0.11000908050713566,-13.927720914833042,3.0,1.0,0.916582338899368,-13.927720914833042,14.756569995397012,-0.31108160944118346,-0.31108160944118346,2.0,0.0,1.1011718230836205,1.1011718230836205
1518,1,0.02695887892953092,0.10889061987873588,-14.076440303727018,1.0,1.0,0.9477769668654804,-14.076440303727018,14.076544098158479,0.053636071426277354,0.053636071426277354,1.0,0.0,1.1011718230836205,1.1011718230836205
1519,1,0.02695887892953092,0.10889061987873588,-14.076440303727018,3.0,1.0,0.3699436173409684,-14.076440303727018,15.419254529976158,0.0,1.429884026281826,2.0,0.0,1.1011718230836205,1.1011718230836205
1520,1,0.03012861219807052,0.10533605646070276,-14.332212206480882,1.0,1.0,0.9123030084034162,-14.332212206480882,14.38586703094876,0.09178309803292706,0.09178309803292706,1.0,0.0,1.1011718230836205,1.1011718230836205
1521,1,0.013810754455548545,0.10518474295728562,-14.177195614764274,3.0,1.0,0.9842398266241791,-14.177195614764274,14.542527165988247,0.006862229842836243,0.0393103188217907,2.0,0.0,1.1011718230836205,1.1011718230836205
1522,1,0.01619922996478443,0.11758252409969644,-14.167475927146487,3.0,1.0,0.9077052019571422,-14.167475927146487,15.017606350011608,-0.024725744979438247,0.19562486234584853,2.0,0.0,1.1011718230836205,1.1011718230836205
1523,1,0.01458270611543131,0.10936316590366835,-13.993799761235607,3.0,1.0,0.9911421405180013,-13.993799761235607,14.285218751545827,-0.04779126467030359,-0.05081944776802061,2.0,0.0,1.1011718230836205,1.1011718230836205
1524,1,0.030307734277926913,0.122932142676621,-14.891441453974075,3.0,1.0,0.8645811200416423,-14.891441453974075,15.372381543278928,0.15513455570343915,0.2888052669635126,2.0,0.0,1.1011718230836205,1.1011718230836205
1525,1,0.013601906294826258,0.09170691755011225,-16.086401867481236,3.0,1.0,0.6234863070657871,-16.086401867481236,16.84445696401468,0.5894968045485314,0.5894968045485314,2.0,0.0,1.1011718230836205,1.1011718230836205
1526,1,0.029061053809553653,0.11129267161120648,-14.135369607905751,3.0,1.0,1.0,-14.135369607905751,16.165569802074593,-0.5430850832043284,-0.570338809561953,2.0,0.0,1.1011718230836205,1.1011718230836205
1527,1,0.007209171828489828,0.1107255450302604,-14.657844859473261,3.0,1.0,0.6302033823170258,-14.657844859473261,15.538241440555213,0.41426786393705406,0.5099036216871742,1.0,0.0,1.1011718230836205,1.1011718230836205
1528,1,0.0033523147219434997,0.12164960099178466,-16.41609034042519,3.0,1.0,0.7191043834700657,-16.41609034042519,16.5543491815017,0.27868451568159003,0.9149552913066508,1.0,0.0,1.1011718230836205,1.1011718230836205
